,attributes.capacitystatus,attributes.clockSpeed,attributes.currentGeneration,attributes.dedicatedEbsThroughput,attributes.ebsOptimized,attributes.ecu,attributes.elasticGpuType,attributes.enhancedNetworkingSupported,attributes.fromLocation,attributes.fromLocationType,attributes.gpu,attributes.gpuMemory,attributes.group,attributes.groupDescription,attributes.instance,attributes.instanceCapacity10xlarge,attributes.instanceCapacity12xlarge,attributes.instanceCapacity16xlarge,attributes.instanceCapacity18xlarge,attributes.instanceCapacity24xlarge,attributes.instanceCapacity2xlarge,attributes.instanceCapacity32xlarge,attributes.instanceCapacity4xlarge,attributes.instanceCapacity8xlarge,attributes.instanceCapacity9xlarge,attributes.instanceCapacityLarge,attributes.instanceCapacityMedium,attributes.instanceCapacityXlarge,attributes.instanceFamily,attributes.instanceType,attributes.intelAvx2Available,attributes.intelAvxAvailable,attributes.intelTurboAvailable,attributes.licenseModel,attributes.location,attributes.locationType,attributes.maxIopsBurstPerformance,attributes.maxIopsvolume,attributes.maxThroughputvolume,attributes.maxVolumeSize,attributes.memory,attributes.networkPerformance,attributes.normalizationSizeFactor,attributes.operatingSystem,attributes.operation,attributes.physicalCores,attributes.physicalProcessor,attributes.preInstalledSw,attributes.processorArchitecture,attributes.processorFeatures,attributes.provisioned,attributes.servicecode,attributes.servicename,attributes.storage,attributes.storageMedia,attributes.tenancy,attributes.toLocation,attributes.toLocationType,attributes.transferType,attributes.usagetype,attributes.vcpu,attributes.volumeType,productFamily,sku
3,Used,3.0 Ghz,Yes,9000 Mbps,,281,,Yes,,,,,,,,,,,,,,,,,,,,,Compute optimized,c5d.18xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,144 GiB,25 Gigabit,144,Windows,RunInstances:0002,,Intel Xeon Platinum 8124M,NA,64-bit,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,1 x 1800 NVMe SSD,,Dedicated,,,,DedicatedUsage:c5d.18xlarge,72,,Compute Instance,PSKQUF3DN4PQUY5X
6,Used,2.3 GHz,Yes,500 Mbps,,12,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,x1e.xlarge,Yes,Yes,,No License required,US East (N. Virginia),AWS Region,,,,,122 GiB,Up to 10 Gigabit,8,Windows,RunInstances:0102,,High Frequency Intel Xeon E7-8880 v3 (Haswell),SQL Ent,64-bit,"Intel AVX, Intel AVX2",,AmazonEC2,Amazon Elastic Compute Cloud,1 x 120 SSD,,Dedicated,,,,DedicatedUsage:x1e.xlarge,4,,Compute Instance,2BEAK4F883TCCQMS
7,Used,3.0 Ghz,Yes,4500 Mbps,,141,,Yes,,,,,,,,,,,,,,,,,,,,,Compute optimized,c5.9xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,72 GiB,10 Gigabit,72,RHEL,RunInstances:0010,,Intel Xeon Platinum 8124M,NA,64-bit,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Dedicated,,,,DedicatedUsage:c5.9xlarge,36,,Compute Instance,HYZTQKMNAKH6FG9C
27,Used,2.3 GHz,Yes,500 Mbps,,12,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,x1e.xlarge,Yes,Yes,,No License required,US East (N. Virginia),AWS Region,,,,,122 GiB,Up to 10 Gigabit,8,Windows,RunInstances:0102,,High Frequency Intel Xeon E7-8880 v3 (Haswell),SQL Ent,64-bit,"Intel AVX, Intel AVX2",,AmazonEC2,Amazon Elastic Compute Cloud,1 x 120 SSD,,Host,,,,HostBoxUsage:x1e.xlarge,4,,Compute Instance,CZVM5AM8JCW2BV2A
30,Used,3.0 Ghz,Yes,Upto 2250 Mbps,,34,,Yes,,,,,,,,,,,,,,,,,,,,,Compute optimized,c5.2xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,16 GiB,Up to 10 Gigabit,16,Windows,RunInstances:0002,,Intel Xeon Platinum 8124M,NA,64-bit,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Dedicated,,,,DedicatedUsage:c5.2xlarge,8,,Compute Instance,XZ79CEGC6NSB9FQ8
33,Used,2.5 GHz,Yes,Upto 2120 Mbps,,8,,Yes,,,,,,,,,,,,,,,,,,,,,General purpose,m5d.large,,,,No License required,US East (N. Virginia),AWS Region,,,,,8 GiB,Up to 10 Gigabit,4,Linux,RunInstances,,Intel Xeon Platinum 8175,NA,64-bit,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,1 x 75 NVMe SSD,,Host,,,,HostBoxUsage:m5d.large,2,,Compute Instance,ZZGJ5XB7QE3ZP335
36,Used,,No,,,26,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,m2.4xlarge,,,,Bring your own license,US East (N. Virginia),AWS Region,,,,,68.4 GiB,High,32,Windows,RunInstances:0800,,Intel Xeon Family,NA,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,2 x 840,,Dedicated,,,,DedicatedUsage:m2.4xlarge,8,,Compute Instance,EGSUTJB8BPPKZR2N
64,Used,,Yes,,,Variable,,,,,,,,,,,,,,,,,,,,,,,General purpose,t3.xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,16 GiB,Moderate,8,RHEL,RunInstances:0010,,Intel Skylake E5 2686 v5 (2.5 GHz),NA,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:t3.xlarge,4,,Compute Instance,2NFP7T4HX3B9D3MR
78,Used,,Yes,,,71,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,r5d.4xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,128 GiB,10 Gigabit,32,RHEL,RunInstances:0010,,Intel Xeon Platinum 8175,NA,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,2 x 300 NVMe SSD,,Host,,,,HostBoxUsage:r5d.4xlarge,16,,Compute Instance,BERQNB4VRAK7U2XS
82,Used,2.5 GHz,No,,,14,,Yes,,,,,,,,,,,,,,,,,,,,,Storage optimized,i2.xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,30.5 GiB,Moderate,8,Windows,RunInstances:0002,,Intel Xeon E5-2670 v2 (Ivy Bridge),NA,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 800 SSD,,Shared,,,,BoxUsage:i2.xlarge,4,,Compute Instance,XMCTY6J8BEK2CTG2
85,Used,2.5 GHz,No,,,26,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,r3.2xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,61 GiB,High,16,RHEL,RunInstances:0010,,Intel Xeon E5-2670 v2 (Ivy Bridge),NA,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 160 SSD,,Host,,,,HostBoxUsage:r3.2xlarge,8,,Compute Instance,G7CNANS9EFDWRFTB
95,Used,2.5 GHz,No,,,26,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,r3.2xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,61 GiB,High,16,RHEL,RunInstances:0010,,Intel Xeon E5-2670 v2 (Ivy Bridge),NA,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 160 SSD,,Dedicated,,,,DedicatedUsage:r3.2xlarge,8,,Compute Instance,QPCQXM3E9RSBMMU9
99,Used,2.5 GHz,No,,,27,,Yes,,,,,,,,,,,,,,,,,,,,,Storage optimized,i2.2xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,61 GiB,High,16,Linux,RunInstances,,Intel Xeon E5-2670 v2 (Ivy Bridge),NA,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,2 x 800 SSD,,Host,,,,HostBoxUsage:i2.2xlarge,8,,Compute Instance,ZH5YZDSEMAZNXC2E
111,Used,3.0 Ghz,Yes,Upto 2250 Mbps,,17,,Yes,,,,,,,,,,,,,,,,,,,,,Compute optimized,c5d.xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,8 GiB,Up to 10 Gigabit,8,RHEL,RunInstances:0010,,Intel Xeon Platinum 8124M,NA,64-bit,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,1 x 100 NVMe SSD,,Dedicated,,,,DedicatedUsage:c5d.xlarge,4,,Compute Instance,AJKM5G5NEKXXWQUN
112,Used,2.5 GHz,Yes,2120 Mbps,,60,,Yes,,,,,,,,,,,,,,,,,,,,,General purpose,m5.4xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,64 GiB,Up to 10 Gigabit,32,Linux,RunInstances,,Intel Xeon Platinum 8175,NA,64-bit,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Host,,,,HostBoxUsage:m5.4xlarge,16,,Compute Instance,747F6W3M3XCHZ8XM
