accountNumber,serverId,name,macAddress,family,ipAddress,gateway,netMask,portGroupName,portGroupId,virtualSwitchName,state,creationTimeStamp,lastModifiedTimeStamp
049450565398,d-server-06a50e9c78e602d3e,,00:50:56:81:06:a5,,,,,Trunk 105,Trunk 105,Trunk 105,ACTIVE,,
049450565398,d-server-0a5047fd7bd7911ed,,00:50:56:81:60:aa,,,,,Trunk 100,Trunk 100,Trunk 100,ACTIVE,,
049450565398,d-server-09c9f3542f0072bb7,,00:50:56:81:00:98,,,,,Trunk 110,Trunk 110,Trunk 110,ACTIVE,,
049450565398,d-server-01692841f440756de,vmnic1,d0:bf:9c:03:70:b0,,,,,,,,ACTIVE,,
049450565398,d-server-01692841f440756de,vmnic0,d0:bf:9c:03:70:a8,,,,,,,,ACTIVE,,
049450565398,d-server-035fde6851682af01,,00:50:56:81:6d:c4,,,,,Trunk 105,Trunk 105,Trunk 105,ACTIVE,,
049450565398,d-server-0a9da75b77fdf7ccd,,00:50:56:81:00:99,,,,,Trunk 240,Trunk 240,Trunk 240,ACTIVE,,
049450565398,d-server-070ed03c671a73d40,,00:50:56:81:71:05,,,,,Trunk 100,Trunk 100,Trunk 100,ACTIVE,,
049450565398,d-server-0328c1cecc3dbd595,,00:50:56:81:00:9d,,,,,Trunk 105,Trunk 105,Trunk 105,ACTIVE,,
049450565398,d-server-00571831ba1984b95,,00:50:56:81:00:37,,,,,Trunk 240,Trunk 240,Trunk 240,ACTIVE,,
049450565398,d-server-0146207700878b6d1,vmnic1,d0:bf:9c:03:12:00,,,,,,,,ACTIVE,,
049450565398,d-server-0146207700878b6d1,vmnic0,d0:bf:9c:03:11:f8,,,,,,,,ACTIVE,,
049450565398,d-server-0f42afceac09c42a9,,00:50:56:81:5f:aa,,,,,129 Trunk,129 Trunk,129 Trunk,ACTIVE,,
049450565398,d-server-0df465c530e0a3e73,,00:50:56:81:00:46,,,,,128 Subnet,128 Subnet,128 Subnet,ACTIVE,,
049450565398,d-server-0e827ae7b253f06a0,,00:50:56:81:79:c9,,,,,Trunk 100,Trunk 100,Trunk 100,ACTIVE,,
049450565398,d-server-0e2eb2a2a072ad8d3,vmnic7,ac:16:2d:9b:82:33,,,,,,,,ACTIVE,,
