id,accountNumber,agentId,cpuType,hostName,hypervisor,osName,osVersion,smBiosId,type,state,creationTimeStamp,lastModifiedTimeStamp,agentProvidedTimeStamp
d-server-0c9c4908d08c6343b,049450565398,,vCPU,sogsnj-fs01.OBS.PVT,VMware ESXi,windowsGuest,Microsoft Windows Server 2012 (64-bit),420107f0-9473-a70f-bf7e-2882239d6d84,VMWARE_VM,ACTIVE,2018-06-22 17:17:23,2018-09-20 14:52:40,
d-server-0e8adbd63ee99da58,049450565398,,vCPU,NAIDCADFSMOB2.global.com,VMware ESXi,windowsGuest,Microsoft Windows Server 2012 (64-bit),4201a24d-2a1f-1496-11da-97765af8abcc,VMWARE_VM,ACTIVE,2018-06-22 17:18:33,2018-09-20 14:53:34,
d-server-08b4a640562bd6c77,049450565398,,vCPU,NYD-OB7D.global.com,VMware ESXi,windowsGuest,Microsoft Windows 7 (64-bit),4201e1ba-0d11-d101-3e0d-7b2ac947f0a0,VMWARE_VM,ACTIVE,2018-06-22 17:18:35,2018-09-20 14:53:33,
d-server-0eddded42e7d20fe1,049450565398,,vCPU,MTLBACKUP.global.com,VMware ESXi,windowsGuest,Microsoft Windows Server 2012 (64-bit),42019491-4c1d-1df3-311f-80acf35da71d,VMWARE_VM,ACTIVE,2018-06-22 17:17:14,2018-09-20 14:52:42,
d-server-02ffaf6addc925b24,049450565398,,vCPU,,VMware ESXi,,Microsoft Windows Server 2012 (64-bit),42010545-d95a-d677-8509-399557bc4eee,VMWARE_VM,ACTIVE,2018-06-22 17:18:35,2018-09-20 14:53:31,
d-server-0918692098e99afc4,049450565398,,vCPU,FLSNAIDCCOG02PD.global.com,VMware ESXi,,Microsoft Windows Server 2012 (64-bit),42016cb2-1548-7751-e0a5-b24a560e57a0,VMWARE_VM,ACTIVE,2018-06-22 17:18:34,2018-07-31 14:58:19,
d-server-0e5b30e7b57da48c3,049450565398,,vCPU,CTXUSSECFLS01PD.global.com,VMware ESXi,windowsGuest,windows9Server64Guest,4201ba27-b6c1-104d-7fa4-9d0e9cb17c37,VMWARE_VM,ACTIVE,2018-06-22 17:18:37,2018-09-20 14:53:33,
d-server-06a50e9c78e602d3e,049450565398,,vCPU,localhost.localdomain,VMware ESXi,,,42016e02-d97a-17d7-fa94-92ab832b73fd,VMWARE_VM,ACTIVE,2018-06-22 17:18:25,2018-09-20 14:52:43,
d-server-0a5047fd7bd7911ed,049450565398,,vCPU,naidchiab2.global.com,VMware ESXi,linuxGuest,Other 3.x Linux (64-bit),42017cb6-6210-41de-e3fa-9d07b76f9ec9,VMWARE_VM,ACTIVE,2018-06-22 17:18:36,2018-09-20 14:53:32,
d-server-05ea4768662584f71,049450565398,,vCPU,NAIDCAXDEV4v.global.com,VMware ESXi,windowsGuest,Microsoft Windows Server 2012 (64-bit),42013cfd-4a70-faf6-cdba-3f2515b574c3,VMWARE_VM,ACTIVE,2018-06-22 17:18:24,2018-09-20 14:52:43,
d-server-09a7c6b226f793296,049450565398,,vCPU,NAIDCCTX-4.global.com,VMware ESXi,,,42012a54-0e93-bed4-a101-0f32fe76e747,VMWARE_VM,ACTIVE,2018-06-22 17:18:25,2018-07-10 13:36:03,
d-server-0c03d97622e7bcc30,049450565398,,vCPU,NAIDCCODE42.global.com,VMware ESXi,windowsGuest,Microsoft Windows Server 2012 (64-bit),42018799-647c-9d6e-d8ca-4c2cbb736bfa,VMWARE_VM,ACTIVE,2018-06-22 17:18:28,2018-09-20 14:52:41,
d-server-0b7c1dd74eedbfa30,049450565398,,vCPU,HBRDC1.corp.fleishman.com,VMware ESXi,windowsGuest,Microsoft Windows Server 2012 (64-bit),420121f0-df8a-8488-f1a5-14deb6267a01,VMWARE_VM,ACTIVE,2018-06-22 17:17:24,2018-09-20 14:52:40,
d-server-09c9f3542f0072bb7,049450565398,,vCPU,nycfax2.global.com,VMware ESXi,windowsGuest,Microsoft Windows Server 2008 R2 (64-bit),4201ebbd-fe78-0a17-8f87-eb00b39463a0,VMWARE_VM,ACTIVE,2018-06-22 17:18:28,2018-09-20 14:52:41,
d-server-01a362d0ef7280fd9,049450565398,,vCPU,NAIDCDHCP2.global.com,VMware ESXi,windowsGuest,Microsoft Windows Server 2012 (64-bit),42011565-6ec3-ca80-6659-2900be55aaa4,VMWARE_VM,ACTIVE,2018-06-22 17:18:28,2018-09-20 14:52:41,
d-server-01692841f440756de,049450565398,,Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz,,VMware ESXi,vmnix-x86,VMware ESXi 5.5.0 build-3116895,38393737-3430-4d32-3235-303430324e51,VMWARE_HOST,ACTIVE,2018-06-22 17:17:13,2018-09-20 14:52:39,
d-server-035fde6851682af01,049450565398,,vCPU,,VMware ESXi,,Microsoft Windows Server 2012 (64-bit),42016093-9f3e-b106-ba31-7f0f77cea3fa,VMWARE_VM,ACTIVE,2018-06-22 17:17:17,2018-09-20 14:52:42,
d-server-0d5ce8150c7dd2c6d,049450565398,,vCPU,PR01WHNJ.addomain.org,VMware ESXi,windowsGuest,Microsoft Windows Server 2012 (64-bit),4201d1b4-9587-3cd9-aede-83098d7ab2b9,VMWARE_VM,ACTIVE,2018-06-22 17:17:24,2018-09-20 14:52:40,
d-server-0beb5c2741b1a72ce,049450565398,,vCPU,LAB-Print.global.com,VMware ESXi,windowsGuest,Microsoft Windows Server 2012 (64-bit),420192f0-bf78-b43c-d28f-7a3da6f94886,VMWARE_VM,ACTIVE,2018-06-22 17:17:16,2018-09-20 14:52:42,
d-server-00061df28a3e84433,049450565398,,vCPU,NAIDCCOGDSQL1V.global.com,VMware ESXi,windowsGuest,Microsoft Windows Server 2008 (32-bit),4201a6c8-3732-39cc-ee7c-9fff0619e32e,VMWARE_VM,ACTIVE,2018-06-22 17:18:37,2018-09-20 14:53:31,
d-server-0a9da75b77fdf7ccd,049450565398,,vCPU,naidcobidol.global.com,VMware ESXi,windowsGuest,Microsoft Windows Server 2008 R2 (64-bit),4201ee13-2612-b2d5-31fe-425a73d22370,VMWARE_VM,ACTIVE,2018-06-22 17:18:36,2018-09-20 14:53:33,
