,instanceType,instanceFamily,OS,ecu,vcpu,memory,normSizeFactor,storage,physicalProcessor,ebsMbps,ebsIsUpTo,netGbps,netIsUpTo
126,m5.12xlarge,General purpose,RHEL,173.0,48,192.0,96,EBS only,Intel Xeon Platinum 8175,6000.0,False,10.0,False
148,c5.4xlarge,Compute optimized,Windows,68.0,16,32.0,32,EBS only,Intel Xeon Platinum 8124M,2250.0,True,10.0,True
462,r4.16xlarge,Memory optimized,SUSE,195.0,64,488.0,128,EBS only,Intel Xeon E5-2686 v4 (Broadwell),12000.0,False,20.0,False
633,p3.2xlarge,GPU instance,SUSE,26.0,8,61.0,16,EBS only,Intel Xeon E5-2686 v4 (Broadwell),1750.0,False,10.0,True
679,c5.2xlarge,Compute optimized,Windows,34.0,8,16.0,16,EBS only,Intel Xeon Platinum 8124M,2250.0,True,10.0,True
1342,p2.xlarge,GPU instance,SUSE,12.0,4,61.0,8,EBS only,Intel Xeon E5-2686 v4 (Broadwell),,False,1.0,False
1544,m5.2xlarge,General purpose,Windows,31.0,8,32.0,16,EBS only,Intel Xeon Platinum 8175,2120.0,True,10.0,True
1573,m5.xlarge,General purpose,Linux,16.0,4,16.0,8,EBS only,Intel Xeon Platinum 8175,2120.0,True,10.0,True
1860,m4.4xlarge,General purpose,SUSE,53.5,16,64.0,32,EBS only,Intel Xeon E5-2676 v3 (Haswell),2000.0,False,1.0,False
4457,m4.10xlarge,General purpose,SUSE,124.5,40,160.0,80,EBS only,Intel Xeon E5-2676 v3 (Haswell),4000.0,False,10.0,False
5288,m5.4xlarge,General purpose,SUSE,60.0,16,64.0,32,EBS only,Intel Xeon Platinum 8175,2120.0,False,10.0,True
5433,g3.16xlarge,GPU instance,Linux,188.0,64,488.0,128,EBS only,Intel Xeon E5-2686 v4 (Broadwell),14000.0,False,20.0,False
5833,p3.8xlarge,GPU instance,SUSE,94.0,32,244.0,64,EBS only,Intel Xeon E5-2686 v4 (Broadwell),7000.0,False,10.0,False
6081,r4.xlarge,Memory optimized,SUSE,13.5,4,30.5,8,EBS only,Intel Xeon E5-2686 v4 (Broadwell),800.0,False,10.0,True
6130,p3.8xlarge,GPU instance,Windows,94.0,32,244.0,64,EBS only,Intel Xeon E5-2686 v4 (Broadwell),7000.0,False,10.0,False
7018,m5.4xlarge,General purpose,Windows,60.0,16,64.0,32,EBS only,Intel Xeon Platinum 8175,2120.0,False,10.0,True
7043,m4.large,General purpose,RHEL,6.5,2,8.0,4,EBS only,Intel Xeon E5-2676 v3 (Haswell),450.0,False,0.3,False
7204,m5.large,General purpose,SUSE,8.0,2,8.0,4,EBS only,Intel Xeon Platinum 8175,2120.0,True,10.0,True
7783,r4.8xlarge,Memory optimized,SUSE,99.0,32,244.0,64,EBS only,Intel Xeon E5-2686 v4 (Broadwell),6000.0,False,10.0,False
8299,r4.16xlarge,Memory optimized,Linux,195.0,64,488.0,128,EBS only,Intel Xeon E5-2686 v4 (Broadwell),12000.0,False,20.0,False
8405,m5.large,General purpose,Windows,8.0,2,8.0,4,EBS only,Intel Xeon Platinum 8175,2120.0,True,10.0,True
8773,p2.xlarge,GPU instance,Windows,12.0,4,61.0,8,EBS only,Intel Xeon E5-2686 v4 (Broadwell),,False,1.0,False
9183,m4.large,General purpose,Linux,6.5,2,8.0,4,EBS only,Intel Xeon E5-2676 v3 (Haswell),450.0,False,0.3,False
